Country,State,Year,Type Of Areas,Gender,"Persons Working In Agriculture, Forestry And Fishing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Mining And Quarrying Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Manufacturing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Electricity, Gas, Steam And Air Conditioning Supply Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Water Supply, Sewerage, Waste Management And Remediation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Construction Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Wholesale, Retail Trade, Repair Of Motor Vehicles And Motorcycles Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Transportation And Storage Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Accommodation And Food Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Information And Communication Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Financial And Insurance Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Real Estate Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Professional, Scientific And Technical Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Administrative And Support Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Public Administration And Defence, Compulsory Social Security Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Education Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Human Health And Social Work Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Arts, Entertainment And Recreation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Other Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Households As Employers For Own Use Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Extraterritorial Organizations And Bodies Industry (UOM:%(Percentage)), Scaling Factor:1"
India,Goa,"PLFS Year (Jul - Jun), 2020",Rural,Male,34.71,1.37,47.02,4.76,6.39,25.46,42.97,33.71,22.59,6.78,14.31,3.49,6.15,8.20,18.51,6.42,5.63,3.71,5.06,2.73,0
India,Goa,"PLFS Year (Jul - Jun), 2020",Urban,Female,57.75,0,32.82,3.26,0.04,0,47.72,4.20,24.88,0,11.65,0,13.22,0.67,12.34,37.15,32.96,0,7.03,14.32,0
India,Goa,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,41.20,0.98,43.10,4.31,4.72,18.65,44.19,25.88,23.40,5.00,13.58,2.61,7.99,6.18,16.69,14.37,13.08,2.72,5.57,5.78,0
India,Gujarat,"PLFS Year (Jul - Jun), 2020",Rural,Male,100.90,0.77,68.29,1.14,1.13,24.66,44.99,19.49,5.44,1.52,5.83,0.56,3.46,4.70,4.91,3.86,3.30,0.13,4.39,0.56,0
India,Gujarat,"PLFS Year (Jul - Jun), 2020",Urban,Female,157.37,0.06,49.32,0,0,7.37,17.24,1.04,2.17,1.87,1.89,0,1.71,2.51,2.43,20.71,13.95,0.18,5.37,14.80,0
India,Gujarat,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,118.28,0.57,62.50,0.85,0.85,19.95,37.91,14.95,4.54,1.54,4.80,0.43,3.01,4.08,4.32,7.60,5.46,0.13,4.43,3.79,0
India,Haryana,"PLFS Year (Jul - Jun), 2020",Rural,Male,63.21,0.69,62.71,1.54,3.54,44.74,49.50,23.27,7.51,4.62,4.73,1.15,4.13,3.98,7.55,5.65,2.78,0.27,8.33,0.12,0
India,Haryana,"PLFS Year (Jul - Jun), 2020",Urban,Female,109.19,0,50.25,0,0,16.80,33.04,1.20,0.98,3.64,4.99,0,3.25,1.61,5.87,46.02,8.65,0,9.46,5.08,0
India,Haryana,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,72.30,0.56,60.27,1.24,2.85,39.23,46.26,18.94,6.24,4.43,4.76,0.93,3.96,3.52,7.23,13.52,3.91,0.22,8.53,1.07,0
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2020",Rural,Male,84.62,0,40.35,6.00,4.37,47.03,38.08,24.15,7.27,1.91,8.66,0.79,3.22,1.69,8.59,12.92,4.66,0.94,4.30,0.40,0
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2020",Urban,Female,188.46,0,32.18,0.09,0.12,7.79,7.37,0.84,1.02,0,1.17,0,0.63,0,9.91,36.80,7.32,0,3.89,2.39,0
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,129.41,0,36.83,3.93,2.66,29.97,26.75,14.19,4.91,1.09,5.98,0.55,2.32,1.14,8.72,20.49,5.51,0.56,4.01,0.98,0
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2020",Rural,Male,55.74,0.54,28.34,2.77,6.40,67.81,52.39,21.00,6.53,2.33,4.03,0.57,1.41,3.49,17.41,16.45,5.91,0.76,5.72,0.39,0
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2020",Urban,Female,178.45,0,37.42,0.06,0.99,7.91,14.22,0.72,0.06,0.11,0.92,0,0.29,0.67,5.83,32.97,14.02,0,3.04,2.34,0
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,97.51,0.40,30.77,1.94,4.75,47.27,40.72,14.73,4.75,1.74,3.02,0.42,1.05,2.56,13.69,20.36,8.15,0.55,4.73,0.85,0
India,Jharkhand,"PLFS Year (Jul - Jun), 2020",Rural,Male,94.68,6.92,28.60,0.86,2.46,65.59,43.09,19.96,7.48,1.60,3.26,0.91,3.67,2.38,2.50,8.51,3.20,0.51,3.12,0.71,0
India,Jharkhand,"PLFS Year (Jul - Jun), 2020",Urban,Female,177.73,3.72,26.94,0,0.05,17.60,21.49,1.62,3.64,0,2.51,0.71,0,0.02,1.19,22.82,8.23,0.53,5.92,5.30,0
India,Jharkhand,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,124.45,6.03,27.33,0.67,1.91,48.76,36.66,14.47,6.13,1.19,2.99,0.82,2.77,1.76,2.15,11.82,4.36,0.51,3.54,1.70,0
India,Karnataka,"PLFS Year (Jul - Jun), 2020",Rural,Male,107.46,1.27,30.69,1.65,0.91,34.28,41.20,25.86,8.08,13.06,3.98,1.19,4.64,5.29,4.48,7.39,2.66,0.36,4.33,1.23,0
India,Karnataka,"PLFS Year (Jul - Jun), 2020",Urban,Female,144.41,0.26,57.34,0,0.05,5.51,17.84,1.85,5.68,10.40,3.63,0.11,2.25,2.08,3.79,20.31,10.09,0.58,6.35,7.44,0
India,Karnataka,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,119.52,0.92,38.32,1.16,0.66,25.48,34.32,18.53,7.36,12.29,3.87,0.88,3.96,4.38,4.24,11.22,4.71,0.42,4.88,2.89,0
India,Kerala,"PLFS Year (Jul - Jun), 2020",Rural,Male,68.35,1.14,32.93,1.67,0.25,63.78,45.41,29.46,9.63,6.22,5.55,0.71,5.47,3.18,5.57,6.51,3.03,2.19,8.56,0.41,0
India,Kerala,"PLFS Year (Jul - Jun), 2020",Urban,Female,86.30,0,42.97,0.81,0.82,25.11,28.73,4.61,5.17,6.46,6.28,0.50,3.88,7.13,8.48,35.13,20.30,1.31,4.95,11.04,0
India,Kerala,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,74.28,0.76,36.15,1.38,0.42,51.18,39.96,21.38,8.18,6.28,5.78,0.64,4.96,4.50,6.52,15.81,8.65,1.90,7.37,3.87,0
India,Ladakh,"PLFS Year (Jul - Jun), 2020",Rural,Male,52.03,0,14.95,35.43,0,21.37,32.50,36.29,8.28,0,2.27,0,8.65,11.08,34.92,18.63,0,23.56,0,0,0
India,Ladakh,"PLFS Year (Jul - Jun), 2020",Urban,Female,131.64,0,31.92,11.13,0,1.53,7.05,0,6.73,9.61,12.53,0,1.28,0,9.98,61.07,14.62,0,0.92,0,0
India,Ladakh,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,84.29,0,20.98,25.50,0,15.77,24.70,22.29,7.76,2.67,5.10,0,5.42,6.79,24.28,34.42,6.40,13.24,0.41,0,0
India,Lakshadweep,"PLFS Year (Jul - Jun), 2020",Rural,Male,89.99,0,15.24,3.07,7.98,22.81,19.22,21.07,2.94,0,0,0,19.98,0,74.29,6.96,9.97,3.68,2.81,0,0
India,Lakshadweep,"PLFS Year (Jul - Jun), 2020",Urban,Female,63.95,0,14.91,0,0,0,0,5.01,0,0,9.08,0,0,0,100.26,90.04,16.75,0,0,0,0
India,Lakshadweep,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,83.71,0,15.18,2.44,6.79,19.40,16.02,18.14,2.41,0,1.83,0,16.24,0,77.97,23.12,11.23,3.14,2.38,0,0
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2020",Rural,Male,134.96,1.39,26.74,1.67,0.74,39.84,37.03,13.46,5.47,1.97,3.84,0.69,3.03,2.61,7.57,6.18,3.65,0.71,7.25,1.17,0
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2020",Urban,Female,171.50,0.12,39.26,0.36,0,20.93,16.77,0.60,3.07,0.91,4.11,0.30,1.01,0.16,2.66,16.88,7.94,0.19,6.41,6.83,0
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,146.23,1.04,29.99,1.33,0.55,34.41,31.53,9.85,4.71,1.66,3.85,0.59,2.50,1.92,6.26,8.90,4.77,0.56,6.82,2.54,0
India,Maharashtra,"PLFS Year (Jul - Jun), 2020",Rural,Male,110.79,0.64,40.37,1.52,2.24,27.09,40.71,21.83,5.33,6.46,7.09,1.03,3.88,5.28,7.43,6.14,3.43,1.21,5.82,1.73,0
India,Maharashtra,"PLFS Year (Jul - Jun), 2020",Urban,Female,157.30,0,32.54,0.16,1.23,5.68,20.78,1.22,5.18,5.56,4.60,0.62,5.87,3.64,2.05,13.50,10.02,0.35,8.57,21.14,0
India,Maharashtra,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,126.27,0.45,37.98,1.10,1.93,20.59,34.69,15.85,5.21,6.13,6.29,0.90,4.36,4.83,5.81,8.18,5.20,0.97,6.38,6.89,0
India,Manipur,"PLFS Year (Jul - Jun), 2020",Rural,Male,94.36,3.53,15.08,0.12,0.37,34.55,37.27,20.58,2.53,1.36,2.44,0,1.67,24.15,28.26,22.12,4.18,0.98,4.69,1.76,0
India,Manipur,"PLFS Year (Jul - Jun), 2020",Urban,Female,40.10,2.31,86.40,0.61,0.06,4.31,54.24,1.15,6.25,0,1.95,0,1.24,13.27,4.85,49.69,27.09,0.20,6.08,0.18,0
India,Manipur,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,80.94,3.19,33.11,0.26,0.28,26.92,41.45,15.55,3.39,1.02,2.32,0,1.52,21.39,22.39,29.16,9.94,0.78,5.04,1.37,0
India,Meghalaya,"PLFS Year (Jul - Jun), 2020",Rural,Male,83.51,3.36,13.22,0.32,0.38,54.37,41.52,36.40,5.02,1.41,1.39,0,1.37,1.35,27.69,14.73,4.08,3.74,4.81,1.40,0
India,Meghalaya,"PLFS Year (Jul - Jun), 2020",Urban,Female,99.03,0.12,3.33,0,0,36.90,38.71,0.95,14.15,1.03,3.66,0.86,0.52,0.34,19.87,26.74,32.41,1.30,10.60,9.45,0
India,Meghalaya,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,90.12,1.97,9.36,0.21,0.24,47.99,40.52,21.98,8.41,1.25,2.20,0.37,1.05,0.96,24.53,19.28,15.46,2.79,7.05,4.27,0
India,Mizoram,"PLFS Year (Jul - Jun), 2020",Rural,Male,105.72,0.76,14.29,1.34,0.59,26.76,31.87,26.73,3.54,0.67,3.54,0,3.54,11.64,36.03,23.18,4.36,0.46,4.81,0.16,0
India,Mizoram,"PLFS Year (Jul - Jun), 2020",Urban,Female,143.00,0.22,16.20,0,0,2.05,76.59,0.25,6.49,1.11,1.79,0,0.26,8.99,9.10,20.91,8.70,0,4.25,0.11,0
India,Mizoram,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,119.00,0.57,15.00,0.86,0.37,17.90,47.97,17.21,4.59,0.82,2.92,0,2.36,10.69,26.32,22.43,5.94,0.29,4.62,0.14,0
India,Nagaland,"PLFS Year (Jul - Jun), 2020",Rural,Male,84.34,0,15.76,3.70,1.93,23.53,32.18,24.87,2.24,3.41,2.07,0.38,3.71,35.50,25.62,29.13,2.92,0.69,8.04,0,0
India,Nagaland,"PLFS Year (Jul - Jun), 2020",Urban,Female,148.64,0,5.12,0,0,0.93,52.95,0.06,5.01,1.84,0,0,2.95,22.23,6.56,34.59,12.41,0,6.69,0,0
India,Nagaland,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,107.58,0,11.99,2.35,1.25,15.49,39.04,16.40,3.16,2.95,1.45,0.27,3.59,30.83,19.34,30.12,6.39,0.49,7.33,0,0
India,Odisha,"PLFS Year (Jul - Jun), 2020",Rural,Male,97.46,2.08,20.14,0.82,1.11,66.12,49.09,18.94,6.13,2.05,3.99,0.85,2.50,2.66,5.25,8.26,1.68,0.65,9.51,0.71,0
India,Odisha,"PLFS Year (Jul - Jun), 2020",Urban,Female,144.26,0.74,29.80,0.41,0.19,45.11,16.82,0.31,3.75,1.43,3.20,0,1.99,1.05,2.59,30.46,6.24,0,5.63,5.99,0
India,Odisha,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,111.17,1.74,23.04,0.69,0.89,59.64,40.30,13.83,5.47,1.89,3.70,0.63,2.38,2.17,4.52,14.17,2.89,0.46,8.40,2.06,0
India,Puducherry,"PLFS Year (Jul - Jun), 2020",Rural,Male,63.19,0.20,47.49,0.87,0.49,57.36,40.43,16.86,8.95,6.05,5.87,0.54,2.78,3.87,13.59,10.01,10.43,0.81,7.58,2.62,0
India,Puducherry,"PLFS Year (Jul - Jun), 2020",Urban,Female,50.62,0,49.77,0,0,29.50,47.92,0,4.48,6.82,4.29,0,7.66,1.09,4.39,34.20,35.85,0,3.77,19.64,0
India,Puducherry,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,59.36,0.14,48.25,0.61,0.35,49.00,42.61,11.86,7.64,6.28,5.39,0.38,4.26,3.02,10.86,17.31,17.95,0.56,6.41,7.74,0
India,Punjab,"PLFS Year (Jul - Jun), 2020",Rural,Male,60.86,0,56.82,2.64,2.00,56.40,54.07,18.72,7.01,3.60,3.67,0.84,2.68,3.21,6.73,5.63,4.07,1.15,9.01,0.90,0
India,Punjab,"PLFS Year (Jul - Jun), 2020",Urban,Female,94.76,0,53.29,0.67,1.54,17.69,16.14,0.57,1.11,1.32,2.90,0,1.22,1.62,4.25,43.59,12.62,0,18.66,28.05,0
India,Punjab,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,68.69,0,56.31,2.20,1.90,47.59,45.91,14.78,5.73,3.10,3.47,0.66,2.36,2.85,6.15,13.67,5.93,0.91,10.98,6.78,0
India,Rajasthan,"PLFS Year (Jul - Jun), 2020",Rural,Male,103.61,3.73,36.72,1.97,1.04,42.34,46.92,15.26,5.97,1.57,5.88,0.70,3.19,3.74,5.64,8.45,3.33,1.10,8.21,0.63,0
India,Rajasthan,"PLFS Year (Jul - Jun), 2020",Urban,Female,178.14,0.23,34.98,0.46,0.85,21.16,15.03,0.77,0.72,0.22,0.90,0.26,0.88,2.32,5.47,14.05,9.01,1.11,6.89,6.53,0
India,Rajasthan,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,129.20,2.69,34.46,1.52,0.95,36.34,37.84,11.03,4.60,1.24,4.52,0.59,2.62,3.34,5.39,9.12,4.49,1.05,7.26,1.77,0
India,Sikkim,"PLFS Year (Jul - Jun), 2020",Rural,Male,84.83,0,12.33,3.84,1.16,37.11,37.63,24.20,11.24,0.34,2.32,0,1.13,1.10,58.78,10.26,6.57,1.99,5.13,0,0
India,Sikkim,"PLFS Year (Jul - Jun), 2020",Urban,Female,134.89,0,5.62,0,0,10.91,47.50,1.60,9.25,0.47,1.75,0,0.38,1.05,45.72,24.79,13.33,0,2.77,0,0
India,Sikkim,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,105.34,0,10.15,2.29,0.79,26.69,40.71,15.78,10.43,0.39,2.04,0,0.90,1.07,52.95,15.33,9.16,1.37,4.60,0,0
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2020",Rural,Male,69.25,1.22,51.66,2.39,1.20,51.28,42.15,23.11,11.26,8.40,6.15,0.92,3.10,4.69,5.20,5.27,2.79,0.93,8.05,0.94,0
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2020",Urban,Female,103.67,0.03,54.06,0.28,0.66,40.91,27.15,0.93,7.85,6.56,3.26,0.32,2.22,3.09,4.10,18.20,9.05,0.03,4.96,12.67,0
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,82.57,0.80,52.12,1.62,1.01,48.47,36.58,15.07,9.99,7.71,5.08,0.73,2.73,4.08,4.78,9.57,4.85,0.61,6.84,4.82,0
India,Telangana,"PLFS Year (Jul - Jun), 2020",Rural,Male,103.87,2.94,29.36,1.24,1.32,33.89,38.36,24.30,4.61,13.29,7.33,3.71,3.76,4.33,6.23,7.10,3.45,0.86,6.19,3.87,0
India,Telangana,"PLFS Year (Jul - Jun), 2020",Urban,Female,138.84,0,46.40,0.77,1.79,18.34,23.56,0.42,4.69,4.35,2.29,0.45,1.06,2.37,3.62,21.14,7.07,0,5.37,17.44,0
India,Telangana,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,116.81,2.02,35.53,1.06,1.41,28.44,33.44,16.21,4.54,10.39,5.58,2.62,2.92,3.66,5.36,11.62,4.46,0.61,5.71,7.59,0
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2020",Rural,Male,42.85,0,178.06,1.28,0,8.25,16.87,19.45,4.54,0,0.39,2.96,0.36,4.07,12.54,2.44,4.50,0,1.05,0.40,0
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2020",Urban,Female,116.09,0,98.43,0,0,5.89,1.2,1.56,1.97,0,1.54,0,0,0,15.38,25.24,30.66,0,2.05,0,0
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,64.39,0,158.22,0.91,0,7.26,13.44,14.31,4.07,0,0.82,2.44,0.29,3.16,11.83,6.48,11.00,0,1.01,0.34,0
India,Tripura,"PLFS Year (Jul - Jun), 2020",Rural,Male,78.05,0.20,16.31,0.02,1.72,62.63,52.35,27.89,5.65,0.64,1.90,0.90,3.03,10.55,12.11,11.22,1.67,1.68,8.55,2.92,0
India,Tripura,"PLFS Year (Jul - Jun), 2020",Urban,Female,139.61,0,21.70,0,0.52,23.58,13.88,0.27,3.28,0.66,0,0,0.52,4.89,7.81,43.74,6.16,0,8.95,24.40,0
India,Tripura,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,95.04,0.14,17.57,0.01,1.40,52.11,42.05,20.41,5.00,0.63,1.39,0.66,2.38,9.07,10.93,19.93,2.83,1.22,8.68,8.51,0
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2020",Rural,Male,114.22,0.38,34.34,1.28,0.62,44.14,49.87,14.57,6.94,1.87,2.47,0.80,3.10,2.60,5.70,5.86,3.33,1.02,6.41,0.48,0
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2020",Urban,Female,184.18,0,26.77,0.21,0.50,9.72,18.71,0.71,3.13,1.48,1.88,0.06,1.14,0.86,4.48,23.15,9.02,0.16,8.11,5.74,0
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,129.19,0.32,32.74,1.07,0.59,36.81,44.21,12.00,6.22,1.78,2.33,0.69,2.77,2.23,5.44,8.64,4.36,0.85,6.48,1.27,0
India,Uttarakhand,"PLFS Year (Jul - Jun), 2020",Rural,Male,71.03,2.18,32.09,0.51,1.52,52.36,48.81,20.59,14.42,2.14,4.50,1.28,1.69,5.45,9.08,14.40,4.00,0.46,13.32,0.12,0
India,Uttarakhand,"PLFS Year (Jul - Jun), 2020",Urban,Female,167.10,0,20.65,0.28,0.61,3.37,30.41,1.75,5.13,3.84,1.26,0,3.45,1.06,5.18,36.79,6.82,0,5.27,6.98,0
India,Uttarakhand,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,101.04,1.51,28.89,0.46,1.28,38.64,43.40,15.29,11.65,2.47,3.58,1.01,2.05,4.50,7.80,19.43,4.62,0.34,10.49,1.58,0
India,West Bengal,"PLFS Year (Jul - Jun), 2020",Rural,Male,86.19,1.83,48.22,1.07,0.60,43.90,47.42,23.67,6.21,2.76,3.79,0.82,3.22,4.72,4.02,7.66,2.84,1.63,5.13,4.31,0
India,West Bengal,"PLFS Year (Jul - Jun), 2020",Urban,Female,102.53,0.04,78.66,0,0.29,10.35,18.03,1.00,5.23,2.89,0.86,0.39,1.19,0.89,2.82,26.62,9.78,0.47,5.59,32.42,0
India,West Bengal,"PLFS Year (Jul - Jun), 2020",Rural + Urban,Persons,90.62,1.35,56.29,0.79,0.50,34.96,39.73,17.66,5.94,2.78,3.02,0.71,2.69,3.72,3.70,12.63,4.68,1.32,5.24,11.65,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural,Male,27.12,0,6.91,4.6,3.44,21.75,5.21,15.93,0.98,0,0.09,0,0.87,0.64,7.95,3.81,0.62,0,0.08,0,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural,Female,20.69,0,2.48,1.01,0,15.6,8.01,0.5,1.3,0,0,0,0,0,15.39,17.66,12.75,0,1.11,3.51,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural,Persons,25.41,0,5.73,3.65,2.52,20.12,5.96,11.82,1.07,0,0.06,0,0.64,0.47,9.94,7.5,3.85,0,0.35,0.93,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Urban,Male,2.08,0,7,1.18,0.71,23.88,11.85,14.45,4.19,0.94,0.1,0,0.83,3.81,21.15,2.81,1.3,0.14,2.79,0.79,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Urban,Female,0.77,0,7.02,0.84,0,1.44,30.87,1.09,3.4,0,3.94,0,3.35,0,20.14,11.43,11.85,0,0.14,3.73,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Urban,Persons,1.79,0,7.01,1.1,0.55,18.84,16.12,11.45,4.02,0.73,0.96,0,1.4,2.96,20.92,4.74,3.67,0.11,2.2,1.45,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Male,16.05,0,6.95,3.09,2.23,22.69,8.14,15.27,2.4,0.41,0.09,0,0.85,2.04,13.79,3.36,0.92,0.06,1.28,0.35,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Female,12.98,0,4.24,0.94,0,10.12,16.86,0.73,2.11,0,1.52,0,1.3,0,17.23,15.25,12.4,0,0.73,3.59,0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Persons,15.29,0,6.28,2.56,1.68,19.57,10.31,11.66,2.33,0.31,0.45,0,0.96,1.53,14.64,6.32,3.77,0.05,1.14,1.16,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Male,58.3,1.24,5.81,0.32,0.24,10.66,5.75,6.57,0.8,0.39,0.49,0,0.49,0.69,1.65,2.56,0.6,0.45,2.97,0,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Female,74.68,0.1,6.87,0,0,5.03,4.86,0.17,0.86,0,0,0,0.01,0.04,2.82,2.25,0.93,0,1.2,0.19,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Persons,64.38,0.82,6.2,0.2,0.15,8.57,5.42,4.19,0.82,0.25,0.31,0,0.31,0.45,2.09,2.44,0.73,0.28,2.31,0.07,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Male,6.4,0.46,15.73,0.81,0.38,15.02,22.02,10.88,3.65,2.09,2.12,0.74,1.86,2.49,4.35,4.21,1.74,0.61,3.6,0.82,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Female,11.6,0.08,20.04,0.18,0.75,6.01,21.47,0.83,5.21,0.61,2.26,0.42,0.22,0.58,3.29,10.55,3.67,0,6.88,5.33,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Persons,7.88,0.35,16.96,0.63,0.49,12.45,21.86,8.01,4.1,1.67,2.16,0.64,1.39,1.95,4.05,6.02,2.29,0.44,4.54,2.11,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Male,42.79,1.01,8.78,0.47,0.28,11.96,10.61,7.86,1.65,0.9,0.98,0.22,0.9,1.23,2.46,3.05,0.94,0.5,3.16,0.25,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Female,60.54,0.09,9.82,0.04,0.17,5.25,8.59,0.32,1.83,0.14,0.51,0.09,0.06,0.16,2.92,4.11,1.55,0,2.48,1.34,0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Persons,48.96,0.69,9.14,0.32,0.24,9.63,9.91,5.24,1.71,0.64,0.81,0.18,0.61,0.86,2.62,3.42,1.15,0.33,2.92,0.63,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Male,62.51,0,1.54,0.52,0.57,4.94,11.68,3.55,0.18,0.05,0.36,0,0,0.25,5.49,6.06,1.16,0.05,0.77,0.33,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Female,70.51,0,0.39,0.8,0.3,1.43,9.27,0.08,0,0,0,0,0,0,0.86,9.9,5.99,0,0,0.48,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,Persons,64.3,0,1.28,0.58,0.51,4.15,11.14,2.77,0.14,0.04,0.28,0,0,0.19,4.45,6.92,2.24,0.04,0.6,0.36,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Male,7.75,0.21,3.94,2.28,1.95,10.68,23.87,6.27,0.99,1.75,0.23,0,0.64,0.25,22.61,7.36,2.68,1.79,2.15,2.61,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Female,4.68,0,1.06,1.2,2.18,3.27,24.86,0,1.46,0.69,1.94,0,0.38,0,21.4,25.12,10.07,0,0,1.69,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,Persons,7.18,0.17,3.4,2.08,1.99,9.32,24.06,5.11,1.07,1.55,0.54,0,0.59,0.2,22.38,10.64,4.05,1.46,1.75,2.44,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Male,53.24,0.04,1.94,0.81,0.8,5.91,13.74,4.01,0.32,0.34,0.33,0,0.11,0.25,8.39,6.28,1.41,0.35,1,0.72,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Female,61.43,0,0.48,0.85,0.56,1.68,11.42,0.07,0.2,0.1,0.27,0,0.05,0,3.69,12,6.55,0,0,0.65,0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,Persons,55.02,0.03,1.63,0.82,0.75,4.99,13.24,3.15,0.29,0.29,0.32,0,0.1,0.19,7.37,7.53,2.53,0.27,0.78,0.7,0
